source,target,azimuth,createdAt,latitude,longitude,loss,manufacturerApi,nodeSort,nodeType,pvSizeWatt,siteId,tilt,weatherStationId
MNTR|44782ade-9c39-4bbc-9caa-afb1005c8db6,MNTR|44782ade-9c39-4bbc-9caa-afb1005c8db6,0,2023-06-30T06:15:59.466062Z,-26.4390917,133.281323,0.15,FRONIUS,44782ade-9c39-4bbc-9caa-afb1005c8db6,MNTR,32640,SITE|c6e21205-d9f8-4958-9afc-9af17ff9c3e0,10,au.bom.site.024580
MNTR|e87b21c9-0ad9-420c-a12a-7c7bd9f1a12a,MNTR|e87b21c9-0ad9-420c-a12a-7c7bd9f1a12a,0,2023-02-23T05:19:39.521966Z,-26.4390917,133.281323,0.15,FRONIUS,e87b21c9-0ad9-420c-a12a-7c7bd9f1a12a,MNTR,18810,SITE|0ed4a841-a0b9-4790-b73e-015cca196417,10,au.bom.site.065070
MNTR|d0545153-aae9-4a89-92ec-c4e5c6fb3e6b,MNTR|d0545153-aae9-4a89-92ec-c4e5c6fb3e6b,0,2023-06-30T06:24:09.511878Z,-26.4390917,133.281323,0.15,FRONIUS,d0545153-aae9-4a89-92ec-c4e5c6fb3e6b,MNTR,15000,SITE|daabb2dc-f447-444d-afc9-e11c2762ffb9,10,au.bom.site.087184
MNTR|3b3fbd64-d337-4635-9f37-dd2f7d7a5023,MNTR|3b3fbd64-d337-4635-9f37-dd2f7d7a5023,0,2023-06-30T04:00:28.488561Z,-26.4390917,133.281323,0.15,FRONIUS,3b3fbd64-d337-4635-9f37-dd2f7d7a5023,MNTR,25000,SITE|31437c75-e114-4f6e-9e86-3f0129fb1d7b,10,au.bom.site.009225
MNTR|6758049,MNTR|6758049,0,2022-11-23T05:02:53.973749Z,-26.4390917,133.281323,0.15,SMA,6758049,MNTR,28710,SITE|838d9791-7577-4950-b7e9-31de3d05f6bd,10,au.bom.site.023083
MNTR|3516434,MNTR|3516434,0,2022-12-05T00:52:00.187781Z,-26.4390917,133.281323,0.15,SMA,3516434,MNTR,24990,SITE|f91b2c61-e8e2-4c2f-ade7-88def32979c9,10,au.bom.site.070351
MNTR|b5a758de-4502-4719-8054-d12dddeac0ec,MNTR|b5a758de-4502-4719-8054-d12dddeac0ec,0,2023-07-03T00:43:19.971541Z,-26.4390917,133.281323,0.15,FRONIUS,b5a758de-4502-4719-8054-d12dddeac0ec,MNTR,27000,SITE|c62bba2b-9ee1-4406-be74-6d24d80028cc,10,au.bom.site.009215
MNTR|2392161,MNTR|2392161,0,2022-12-01T04:08:06.941074Z,-26.4390917,133.281323,0.15,SMA,2392161,MNTR,24990,SITE|a0d0db7f-02a5-49e2-b175-efaa8da029bb,10,au.bom.site.009215
MNTR|1098974_1_8_19,MNTR|1098974_1_8_19,0,2023-03-09T00:59:48.299321Z,-26.4390917,133.281323,0.15,SUNGROW,1098974_1_8_19,MNTR,140000,SITE|5b0d7da5-0b4c-4a88-9e51-610db8cd822b,10,au.bom.site.140009
MNTR|1205793_1_3_1,MNTR|1205793_1_3_1,0,2023-06-22T00:58:16.855566Z,-26.4390917,133.281323,0.15,SUNGROW,1205793_1_3_1,MNTR,35100,SITE|c4df6294-66ed-47e1-a168-1775e44a33c1,10,au.bom.site.058012
MNTR|cf146ea2-85e5-493d-bc10-95451b81c306,MNTR|cf146ea2-85e5-493d-bc10-95451b81c306,0,2023-01-18T05:00:54.437121Z,-26.4390917,133.281323,0.15,SMA,cf146ea2-85e5-493d-bc10-95451b81c306,MNTR,10250,SITE|01ac36e1-93de-4c6c-a5d7-5c1a530985c6,10,au.bom.site.009172
MNTR|d0c4e56b-f55e-454a-9f8b-4df609131779,MNTR|d0c4e56b-f55e-454a-9f8b-4df609131779,0,2023-06-30T06:33:15.910152Z,-26.4390917,133.281323,0.15,FRONIUS,d0c4e56b-f55e-454a-9f8b-4df609131779,MNTR,15000,SITE|238effc1-d519-415d-99f6-e6c2645f02bf,10,au.bom.site.009965
MNTR|1112363_1_2_1,MNTR|1112363_1_2_1,0,2023-02-03T00:31:07.549229Z,-26.4390917,133.281323,0.15,SUNGROW,1112363_1_2_1,MNTR,82500,SITE|08b12d74-607d-41f5-89c8-d4c0b2e09993,10,au.bom.site.023122
MNTR|915c8dc7-f66c-465e-9c6f-46f420921c60,MNTR|915c8dc7-f66c-465e-9c6f-46f420921c60,0,2022-10-25T04:16:47.760575Z,-26.4390917,133.281323,0.15,SMA,915c8dc7-f66c-465e-9c6f-46f420921c60,MNTR,5450,SITE|df6e05f6-1f7b-407a-a950-f7947008fa36,10,au.bom.site.066214
MNTR|c0c66fd0-37c7-4801-9ccd-424023f0d8bb,MNTR|c0c66fd0-37c7-4801-9ccd-424023f0d8bb,0,2023-01-24T03:50:43.144269Z,-26.4390917,133.281323,0.15,SMA,c0c66fd0-37c7-4801-9ccd-424023f0d8bb,MNTR,16660,SITE|39ee6eeb-d013-4d8f-ba71-e6477de60b71,10,au.bom.site.061425
MNTR|1a1d9fc2-d1e1-4794-ba26-a1524b777d01,MNTR|1a1d9fc2-d1e1-4794-ba26-a1524b777d01,0,2022-10-25T04:32:49.363444Z,-26.4390917,133.281323,0.15,SMA,1a1d9fc2-d1e1-4794-ba26-a1524b777d01,MNTR,33300,SITE|e06bf72c-e6a1-481c-b5d4-a3de90d1c0f5,10,au.bom.site.068257
MNTR|a6e623b2-105d-47c5-a0e9-aa5e006a9faf,MNTR|a6e623b2-105d-47c5-a0e9-aa5e006a9faf,0,2023-06-01T06:19:36.273123Z,-26.4390917,133.281323,0.15,FRONIUS,a6e623b2-105d-47c5-a0e9-aa5e006a9faf,MNTR,33250,SITE|c2b6be72-3b29-4a75-a833-dd9a13cc165e,10,au.bom.site.009965
MNTR|676766f6-7202-488d-a9e3-b7ce17b980ad,MNTR|676766f6-7202-488d-a9e3-b7ce17b980ad,0,2023-01-20T05:32:24.390992Z,-26.4390917,133.281323,0.15,SMA,676766f6-7202-488d-a9e3-b7ce17b980ad,MNTR,27770,SITE|072ee58d-3434-4292-8c4d-7b6e6f4455d1,10,au.bom.site.068228
MNTR|03003a62-ddf7-4dcf-a59f-261883c13eeb,MNTR|03003a62-ddf7-4dcf-a59f-261883c13eeb,0,2023-07-03T05:02:42.632978Z,-26.4390917,133.281323,0.15,FRONIUS,03003a62-ddf7-4dcf-a59f-261883c13eeb,MNTR,25000,SITE|ebd7d6b4-ee31-4dcb-bc75-f7451f37f330,10,au.bom.site.009172
MNTR|2789bf7a-ddb7-40e4-ac0d-79f84b24a4b5,MNTR|2789bf7a-ddb7-40e4-ac0d-79f84b24a4b5,0,2023-07-03T02:45:10.447302Z,-26.4390917,133.281323,0.15,FRONIUS,2789bf7a-ddb7-40e4-ac0d-79f84b24a4b5,MNTR,15000,SITE|b6637b49-373e-4f1b-a795-7b55fa7122fa,10,au.bom.site.009225
MNTR|4007e41d-f4fa-4f33-a93a-0e5bad93dfc5,MNTR|4007e41d-f4fa-4f33-a93a-0e5bad93dfc5,0,2023-07-03T01:15:46.100769Z,-26.4390917,133.281323,0.15,FRONIUS,4007e41d-f4fa-4f33-a93a-0e5bad93dfc5,MNTR,10000,SITE|9a75d7a4-2a93-4967-8e2f-f0551cdac5fe,10,au.bom.site.009225
MNTR|7053139,MNTR|7053139,0,2022-11-23T04:38:34.848486Z,-26.4390917,133.281323,0.15,SMA,7053139,MNTR,39960,SITE|da8ef151-be83-48e8-abe2-23597daee6d6,10,au.bom.site.023034
