source,target, weatherStationId,commsIssuesFlag,createdAt,dataIssuesFlag,dlfLossFactor,generationWatt,latitude,longitude,mlfLossFactor,nearestBomStationId,nextProcessDueAt,nodeType,performanceSinceInceptionSortKey,pvSizeWatt,timezone
SITE|65e61db2-2bb3-4480-b495-96064d5ed331,SITE|65e61db2-2bb3-4480-b495-96064d5ed331,,FALSE,2023-06-29T01:55:04.940396Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.040842,,SITE,,25000,Australia/Brisbane
SITE|4dddc226-3464-4c95-aded-875e490a2f02,SITE|4dddc226-3464-4c95-aded-875e490a2f02,,,2022-06-17T03:43:00.803739Z,,1,0,-26.4390917,133.281323,1,au.bom.site.066194,2023-06-22T06:41:09.453872+00:00,SITE,39,9360,Australia/Sydney
SITE|d830cf82-d943-404a-8396-9b22141538a8,SITE|d830cf82-d943-404a-8396-9b22141538a8,,,2023-02-01T22:19:14.041767Z,,,0,-26.4390917,133.281323,,au.bom.site.087185,,SITE,,99820,Australia/Melbourne
SITE|c9fcf61f-c1a9-48d8-b2bb-c843dbd69119,SITE|c9fcf61f-c1a9-48d8-b2bb-c843dbd69119,,,2022-06-17T03:59:26.131218Z,,1,0,-26.4390917,133.281323,1,au.bom.site.066214,2023-06-22T06:41:06.600256+00:00,SITE,53,6600,Australia/Sydney
SITE|09640f46-ed55-45be-b243-dbbe126fc994,SITE|09640f46-ed55-45be-b243-dbbe126fc994,,FALSE,2023-06-22T23:16:00.100415Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009172,2023-07-28T11:02:10.651141+00:00,SITE,,10290,Australia/Perth
SITE|166b83a9-ad51-4ad2-b853-fdb1aa936f6d,SITE|166b83a9-ad51-4ad2-b853-fdb1aa936f6d,,,2022-11-17T01:48:26.112926Z,,,0,-26.4390917,133.281323,,au.bom.site.063291,2023-06-26T07:41:36.592747+00:00,SITE,100,25750,Australia/Sydney
SITE|d317a168-4257-4187-9603-3d4834532bbb,SITE|d317a168-4257-4187-9603-3d4834532bbb,,,2022-06-20T02:52:13.038257Z,,1,0,-26.4390917,133.281323,1,au.bom.site.066212,2023-06-26T15:40:09.042236+00:00,SITE,70,26100,Australia/Sydney
SITE|11fde49c-5cd0-429c-8013-97c9a1c1462d,SITE|11fde49c-5cd0-429c-8013-97c9a1c1462d,,FALSE,2023-04-13T01:32:29.620135Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.066194,2023-07-17T07:41:15.850569+00:00,SITE,80,110000,Australia/Sydney
SITE|d159d534-3a20-4bce-9df0-5772d555d4c8,SITE|d159d534-3a20-4bce-9df0-5772d555d4c8,,FALSE,2023-06-15T00:26:14.124084Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.031222,2023-07-17T16:42:47.779794+00:00,SITE,69,5000,Australia/Brisbane
SITE|20200be5-9a36-4b8b-b869-4459631ddaf8,SITE|20200be5-9a36-4b8b-b869-4459631ddaf8,,,2023-01-18T04:08:30.152056Z,,,0,-26.4390917,133.281323,,au.bom.site.039083,2023-05-03T09:41:19.245379+00:00,SITE,76,320300,Australia/Brisbane
SITE|f6b11cb7-2474-4853-9fe9-c7bda08d36e5,SITE|f6b11cb7-2474-4853-9fe9-c7bda08d36e5,,FALSE,2023-06-19T05:30:20.847921Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,2023-07-20T04:42:10.599895+00:00,SITE,109,8000,Australia/Perth
SITE|cd16277d-7fb6-4180-be21-5af46f1c39f0,SITE|cd16277d-7fb6-4180-be21-5af46f1c39f0,,FALSE,2023-06-13T06:49:49.535813Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.039083,2023-07-16T09:42:41.825557+00:00,SITE,97,12500,Australia/Brisbane
SITE|60cf5b3f-293b-4336-b59f-4fc00fee17ed,SITE|60cf5b3f-293b-4336-b59f-4fc00fee17ed,,TRUE,2022-11-15T22:24:34.062261Z,,,0,-26.4390917,133.281323,,au.bom.site.066214,2023-06-26T15:42:38.507479+00:00,SITE,89,76000,Australia/Sydney
SITE|a9d76561-f36e-458e-b381-a7dcb5b92b35,SITE|a9d76561-f36e-458e-b381-a7dcb5b92b35,,FALSE,2023-06-29T00:45:11.713767Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009172,,SITE,,12500,Australia/Perth
SITE|0edcb002-0a8e-40df-bfc1-2ae6d251f48b,SITE|0edcb002-0a8e-40df-bfc1-2ae6d251f48b,,FALSE,2023-06-22T02:26:56.631320Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.059151,2023-07-12T04:41:41.274301+00:00,SITE,70,220000,Australia/Sydney
SITE|c5e8ad5f-9a60-417b-8439-fb3771b62cf0,SITE|c5e8ad5f-9a60-417b-8439-fb3771b62cf0,,,2023-01-18T04:41:50.060316Z,,,0,-26.4390917,133.281323,,au.bom.site.009999,2023-06-26T15:43:35.065896+00:00,SITE,95,29400,Australia/Perth
SITE|fe8a5c00-0514-4aa3-8e6b-d9b9f7c1a93c,SITE|fe8a5c00-0514-4aa3-8e6b-d9b9f7c1a93c,,FALSE,2023-06-19T06:45:31.948850Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009256,2023-07-28T10:10:57.710947+00:00,SITE,,30000,Australia/Perth
